#,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,channel_name,total_subscribers,total_views,total_videos
1,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,34000000,11670203211,1935
2,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,29200000,20127873721,3749
3,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI,25000000,6264811203,1266
4,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.1%,Reino Unido,,6.9M,,Ver Perfil,Mister Max,25000000,16440768451,1190
5,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,23500000,15251605553,6687
6,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,25300000,16214606162,1137
7,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,24100000,14283467434,309
8,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.3%,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,26900000,19156502698,1679
9,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,19600000,6837619757,4618
10,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,17200000,9115352178,369
11,Sidemen @sidemen,17M,2.8%,Reino Unido,,5.1M,,Ver Perfil,Queen Official,18200000,12255886269,1321
12,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Little Mix,16500000,8246314880,278
13,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,JJ Olatunji,16400000,4464014596,1418
14,JJ Olatunji @UCGmnsW623G1r-Chmo5RB4Yw,15.9M,-,Reino Unido,,4.8M,,Ver Perfil,F2Freestylers - Ultimate Soccer Skills Channel,14000000,3379830874,783
15,F2Freestylers - Ultimate Soccer Skills Channel @UCKvn9VBLAiLiYL4FFJHri6g,14M,0.2%,Reino Unido,Celebridad,4.2M,,Ver Perfil,BBC News,17600000,5953392432,24891
16,BBC News @UC16niRr50-MSBwiO3YDb3RA,13.3M,-,Reino Unido,,4M,,Ver Perfil,BBC,14700000,11066728780,22715
17,BBC @UCCj956IF62FbT7Gouszaj9w,12.9M,-,Reino Unido,,3.9M,,Ver Perfil,Awakening Music,14700000,6281816233,1023
18,Awakening Music @UCBq5hp6DvwWam2XOXw6lYJA,12.4M,-,संयुक्त अधिराज्य,सङ्गीत,3.7M,,प्रोफ़ाइल देखें,DisneyChannelUK,13400000,14048360965,4610
